Listings,Price,Room Type,Reviews,Location
Park Slope private room by subway,85,Private room,2,"Park Slope, Brooklyn"
Lrg 2 bdrm 1st stop L Williamsburg,180,Entire home/apt,4,"Williamsburg, Brooklyn"
Beautiful 1BR + Yard (kid-friendly),95,Entire home/apt,7,"Bedford-Stuyvesant, Brooklyn"
Williamsburg 1 bedroom Apartment,125,Entire home/apt,5,"Williamsburg, Brooklyn"
"Great studio, Fort Greene, Brooklyn",135,Entire home/apt,1,"Fort Greene, Brooklyn"
"Landmark Cottage, Brownstone block",200,Entire home/apt,1,"Crown Heights, Brooklyn"
Big Sunny Bdrm fits 4 in E W-burg,70,Private room,2,"Williamsburg, Brooklyn"
Room in beautiful apartment!,75,Private room,1,"Clinton Hill, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,5,"Bedford-Stuyvesant, Brooklyn"
"BIG, sunny 1BD in bed-stuy",70,Private room,7,"Bedford-Stuyvesant, Brooklyn"
Modern 1BR-Steps from Franklin Ave,88,Entire home/apt,3,"Crown Heights, Brooklyn"
Carroll Gardens Gem-2BD with Garden,275,Entire home/apt,2,"Carroll Gardens, Brooklyn"
Mayor's Mansion - Carlton_Suite,100,Private room,1,"Fort Greene, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,5,"Bedford-Stuyvesant, Brooklyn"
1 BR APT CLOSE TO PARK AND SUBWAY,100,Entire home/apt,2,"Flatbush, Brooklyn"
"Brooklyn Brownstone, Private Room",85,Private room,7,"Prospect Heights, Brooklyn"
Private Room in Williamsburg NYC,85,Private room,1,"Williamsburg, Brooklyn"
Master Bedroom in Hip Williamsburg,65,Private room,5,"Williamsburg, Brooklyn"
Stunning 3200sf 3FLR+3BR w/terrace,250,Entire home/apt,3,"Park Slope, Brooklyn"
Large apartment w/ Parking,89,Entire home/apt,4,"Bushwick, Brooklyn"
Seven Days Sleep Near Prospect Park,100,Entire home/apt,3,"Lefferts Garden, Brooklyn"
Palatial Brownstone w Backyard,275,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Beautiful 1BR apt in trendy Bklyn,125,Entire home/apt,1,"Park Slope, Brooklyn"
Lovely Bklyn Duplex w/ Courtyard,250,Entire home/apt,5,"Boerum Hill, Brooklyn"
big riverside 1bedrm williamsburg!,120,Entire home/apt,8,"Williamsburg, Brooklyn"
Williamsburg Garden Apartment,150,Entire home/apt,1,"Williamsburg, Brooklyn"
Large Room with Private Bathroom,37,Private room,3,"Clinton Hill, Brooklyn"
Sunny Private Room in Brooklyn,60,Private room,1,"Crown Heights, Brooklyn"
"Cozy room, overlooking garden",65,Private room,2,"Bedford-Stuyvesant, Brooklyn"
"Large Purple Room for 2/3, $1450/mo",95,Private room,2,"Bedford-Stuyvesant, Brooklyn"
Inspiring spacious loft space,110,Private room,1,"Williamsburg, Brooklyn"
Historic House in Williamsburg,99,Private room,7,"Williamsburg, Brooklyn"
It's Always Sunny on Prospect!,74,Private room,2,"Crown Heights, Brooklyn"
Newest Building in Williamsburg #2,102,Private room,1,"Williamsburg, Brooklyn"
Renovated Loft 1 stop to the city,199,Entire home/apt,2,"Williamsburg, Brooklyn"
1BD in Modern Deco Williamsburg,85,Private room,6,"Williamsburg, Brooklyn"
Awesome studio in Bushwick!!!,88,Entire home/apt,2,"Bushwick, Brooklyn"
Option of 2 Beds + Private Bathroom,58,Private room,4,"Bushwick, Brooklyn"
SUNNY ROOM B CHIC SOUTH WILLYBURG!!,100,Private room,5,"Williamsburg, Brooklyn"
"Bedford Loft, Williamsburg Prime",249,Entire home/apt,5,"Williamsburg, Brooklyn"
Fun Comfy & Cozy apt Near Subway,188,Entire home/apt,1,"Williamsburg, Brooklyn"
Zen Eyrie –Airport Pick-Up: JFK/LGA,48,Private room,7,"East New York, Brooklyn"
PEACEFUL BRAND NEW 2 BED IN WSBG,200,Entire home/apt,1,"Williamsburg, Brooklyn"
