Listings,Price,Room Type,Reviews,Location
Huge Brooklyn Loft with Roofdeck,165,Entire home/apt,43 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,130,Entire home/apt,45 reviews,"Boerum Hill, Brooklyn"
1 BR APT CLOSE TO PARK AND SUBWAY,100,Entire home/apt,2 reviews,"Flatbush, Brooklyn"
KOZY ROOM IN FORT GREENE BROOKLYN..,66,Private room,98 reviews,"Fort Greene, Brooklyn"
The Institute—Heart of Williamsburg,250,Entire home/apt,110 reviews,"Williamsburg, Brooklyn"
Carroll Gardens Gem  -new 2 BR apt,275,Entire home/apt,26 reviews,"Carroll Gardens, Brooklyn"
Big Sunny Bdrm fits 4 in E W-burg,70,Private room,22 reviews,"Williamsburg, Brooklyn"
South Slope Private Basement Studio,80,Private room,14 reviews,"Park Slope, Brooklyn"
"Classic Brownstone Beauty, Sleeps 4",198,Entire home/apt,54 reviews,"Crown Heights, Brooklyn"
Affordable bedroom by Barclays Cntr,45,Private room,44 reviews,"Lefferts Garden, Brooklyn"
Settle in to this Private Room,85,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful studio by Prospect Park,65,Entire home/apt,21 reviews,"Windsor Terrace, Brooklyn"
Luxury Loft Private Room B (3C),100,Private room,15 reviews,"Williamsburg, Brooklyn"
Lovely sun-lit 3-bedroom apartment,175,Entire home/apt,27 reviews,"Bedford-Stuyvesant, Brooklyn"
Large apartment w/ Parking,89,Entire home/apt,45 reviews,"Bushwick, Brooklyn"
Spacious 2bds in Brooklyn townhouse,90,Private room,48 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Elegant and Big Room!,80,Private room,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Lovely Private Room in Brownstone,80,Private room,29 reviews,"Crown Heights, Brooklyn"
Spacious loft in Downtown Brooklyn,98,Private room,56 reviews,"Downtown Brooklyn, Brooklyn"
"Sunny room, peaceful house, bikes!",70,Private room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
East Williamsburg Artist Loft,50,Private room,24 reviews,"Williamsburg, Brooklyn"
Gorgeous 2BR Apt in Brownstone,225,Entire home/apt,85 reviews,"Clinton Hill, Brooklyn"
Huge Room in South Williamsburg,75,Private room,71 reviews,"Williamsburg, Brooklyn"
9 A Private Room Lux Loft,100,Private room,12 reviews,"Williamsburg, Brooklyn"
"Balcony room, Wburg/Bwick penthouse",40,Private room,5 reviews,"Williamsburg, Brooklyn"
Waterbury House East Williamsburg 1,110,Private room,69 reviews,"Williamsburg, Brooklyn"
